subtopic,ac_id,doc_behavior,benchmark_test,benchmark_assertion,generated_test,alignment_verdict,rq1_covered,rq2_aligned
2.2 Multi-Operation Transactions,AC-01.1,CreateAccountOperationBuilder.build() returns a non-null CreateAccountOperation,sdk-usage: Multi-Operation Transactions (implicit — op added to transaction),(implicit — op used in TransactionBuilder),TS-01.1 — expect(op isNotNull); isA<CreateAccountOperation>(),EXPANDED,YES,IMPLICIT
2.2 Multi-Operation Transactions,AC-01.2,Starting balance string "5" is accepted without error during build,sdk-usage: Multi-Operation Transactions (implicit — "5" passed in benchmark),(implicit — build completes without exception),TS-01.1 — "5" accepted in build (no exception),EXPANDED,YES,N/A
2.2 Multi-Operation Transactions,AC-02.1,ChangeTrustOperationBuilder.build() returns a non-null ChangeTrustOperation,sdk-usage: Multi-Operation Transactions (implicit — op added to transaction),(implicit — op used in TransactionBuilder),TS-02.1 — expect(op isNotNull); isA<ChangeTrustOperation>(),EXPANDED,YES,IMPLICIT
2.2 Multi-Operation Transactions,AC-02.2,setSourceAccount(newAccountId) sets the operation source to the new account (not the funder),sdk-usage: Multi-Operation Transactions (implicit — .setSourceAccount(newAccountId) called in benchmark),(implicit — multi-sig succeeds because source is set correctly),TS-02.1 — setSourceAccount(newAccountId) accepted without error,EXPANDED,YES,N/A
2.2 Multi-Operation Transactions,AC-02.3,Trustline limit string "10000" is accepted without error during build,sdk-usage: Multi-Operation Transactions (implicit — "10000" passed in benchmark),(implicit — build completes without exception),TS-02.1 — "10000" limit accepted in build,EXPANDED,YES,N/A
2.2 Multi-Operation Transactions,AC-03.1,PaymentOperationBuilder for a custom AssetTypeCreditAlphaNum4 returns a non-null PaymentOperation,(not in benchmark — benchmark omits payment operation),(not tested in benchmark),TS-03.1 — expect(op isNotNull); isA<PaymentOperation>(),EXPANDED,YES,N/A
2.2 Multi-Operation Transactions,AC-04.1,TransactionBuilder accepts multiple operations via chained addOperation() calls,sdk-usage: Multi-Operation Transactions (implicit — two ops chained in benchmark),(implicit — transaction built without exception),TS-04.1 — three chained addOperation() calls succeed,EXPANDED,YES,N/A
2.2 Multi-Operation Transactions,AC-04.2,transaction.operations.length equals the number of added operations (3),sdk-usage: Multi-Operation Transactions (implicit — two ops submitted),(not asserted in benchmark),TS-04.1 — expect(tx.operations.length 3),EXPANDED,YES,N/A
2.2 Multi-Operation Transactions,AC-05.1,transaction.sign(funderKeyPair Network.TESTNET) completes without error,sdk-usage: Multi-Operation Transactions (implicit — sign called before submit),(implicit — both signs succeed before submitTransaction),TS-05.1 — sign(issuerKeyPair Network.TESTNET) returnsNormally,EXPANDED,YES,IMPLICIT
2.2 Multi-Operation Transactions,AC-05.2,A second transaction.sign(newAccountKeyPair Network.TESTNET) adds a second signature without error,sdk-usage: Multi-Operation Transactions (implicit — both sign before submit),(implicit — second sign required for submit to succeed),TS-05.1 — sign(newAccountKeyPair Network.TESTNET) returnsNormally,EXPANDED,YES,IMPLICIT
2.2 Multi-Operation Transactions,AC-06.1,response.success is true for a valid fully-signed multi-operation transaction,sdk-usage: Multi-Operation Transactions,expect(response.success true),TS-06.1 — expect(response.success true),ALIGNED,YES,YES
2.2 Multi-Operation Transactions,AC-06.2,All operations execute atomically: if any fails the entire transaction rolls back,sdk-usage: Multi-Operation Transactions (positive path only — benchmark does not trigger rollback),(not testable — no intentional failure in benchmark),TS-06.2 — deliberately failing op (50000 XLM over-balance); expect(success false) + account not created,ALIGNED,YES,N/A
2.2 Multi-Operation Transactions,AC-07.1,sdk.accounts.account(newAccountId) returns a non-null AccountResponse after submission,sdk-usage: Multi-Operation Transactions (implicit — newAccount.accountId accessed),(implicit — account must exist for .accountId to be accessible),TS-06.1 — expect(newAccount isNotNull),EXPANDED,YES,IMPLICIT
2.2 Multi-Operation Transactions,AC-07.2,AccountResponse.accountId equals the newAccountId used in CreateAccountOperation,sdk-usage: Multi-Operation Transactions,"expect(newAccount.accountId, newAccountId)",TS-06.1 — expect(newAccount.accountId newAccountId),ALIGNED,YES,YES
