subtopic,ac_id,doc_behavior,benchmark_test,benchmark_assertion,generated_test,alignment_verdict,rq1_covered,rq2_aligned
1.4 HD Wallets (SEP-5),AC-01.1,generate24WordsMnemonic() is async,sdk-usage: HD Wallets (SEP-5),(implicit — await used),TS-01.1 — async test,ALIGNED,YES,IMPLICIT
1.4 HD Wallets (SEP-5),AC-01.2,Returns a non-empty string,sdk-usage: HD Wallets (SEP-5),(implicit — string used without empty-check),TS-01.1 — isNotEmpty,EXPANDED,YES,IMPLICIT
1.4 HD Wallets (SEP-5),AC-01.3,Returned string has exactly 24 space-separated words,sdk-usage: HD Wallets (SEP-5),expect(mnemonic.split(' ').length 24),TS-01.1 — split(' ').length == 24,ALIGNED,YES,YES
1.4 HD Wallets (SEP-5),AC-01.4,Successive calls produce unique mnemonic phrases,sdk-usage: HD Wallets (SEP-5),(not tested),TS-01.2 — m1 != m2,EXPANDED,YES,N/A
1.4 HD Wallets (SEP-5),AC-02.1,Wallet.from(mnemonic) returns a non-null Wallet,sdk-usage: HD Wallets (SEP-5),(implicit — wallet used without null-check),TS-02.1 — isNotNull,EXPANDED,YES,IMPLICIT
1.4 HD Wallets (SEP-5),AC-02.2,getKeyPair(index) returns a non-null KeyPair,sdk-usage: HD Wallets (SEP-5),(implicit — keypair used without null-check),TS-02.2 — isNotNull,EXPANDED,YES,IMPLICIT
1.4 HD Wallets (SEP-5),AC-02.3,Derived accountId starts with G,sdk-usage: HD Wallets (SEP-5),"expect(account0.accountId startsWith('G'))",TS-02.2 — startsWith('G'),ALIGNED,YES,YES
1.4 HD Wallets (SEP-5),AC-02.4,Different indices produce different accountIds,sdk-usage: HD Wallets (SEP-5),expect(account0.accountId isNot(account1.accountId)),TS-02.3 — kp0.accountId != kp1.accountId,ALIGNED,YES,YES
1.4 HD Wallets (SEP-5),AC-02.5,Same mnemonic always produces same accountId at same index (determinism),sdk-usage: HD Wallets (SEP-5),expect(account0Again.accountId account0.accountId),TS-02.4 — kp0Again.accountId == kp0.accountId,ALIGNED,YES,YES
1.4 HD Wallets (SEP-5),AC-02.6,Derived keypair can sign (has private key),sdk-usage: HD Wallets (SEP-5),(not tested),TS-02.5 — canSign() == true,EXPANDED,YES,N/A
1.4 HD Wallets (SEP-5),AC-03.1,Wallet.from() with passphrase returns a non-null Wallet,sdk-usage: HD Wallets with passphrase,(implicit — wallet used without null-check),TS-03.1 — wallet used implicitly,IMPLICIT,YES,IMPLICIT
1.4 HD Wallets (SEP-5),AC-03.2,Same mnemonic with passphrase yields different accountId than without,sdk-usage: HD Wallets with passphrase,expect(withPass.accountId isNot(noPass.accountId)),TS-03.1 — kpWith.accountId != kpNo.accountId,ALIGNED,YES,YES
1.4 HD Wallets (SEP-5),AC-03.3,Same mnemonic + same passphrase is deterministic,sdk-usage: HD Wallets with passphrase,(not tested),TS-03.2 — kp1.accountId == kp2.accountId,EXPANDED,YES,N/A
