subtopic,ac_id,doc_behavior,benchmark_test,benchmark_assertion,generated_test,alignment_verdict,rq1_covered,rq2_aligned
2.3 Memos Time Bounds and Fees,AC-01.1,Memo.text() returns a non-null MemoText object,sdk-usage: Memos Time Bounds and Fees (implicit — Memo.text() called),(implicit — Memo.text() used without null check),TS-01.1 — expect(memo isNotNull); isA<MemoText>(); .text == original,EXPANDED,YES,IMPLICIT
2.3 Memos Time Bounds and Fees,AC-01.2,addMemo(Memo.text(...)) adds memo to transaction without error,sdk-usage: Memos Time Bounds and Fees (implicit — addMemo called),(implicit — transaction built without exception),TS-02.1 — addMemo() in TransactionBuilder chain builds without exception,EXPANDED,YES,IMPLICIT
2.3 Memos Time Bounds and Fees,AC-01.3,A transaction with a text memo submits successfully (response.success == true),sdk-usage: Memos Time Bounds and Fees,"expect(response.success, true)",TS-02.1 — expect(response.success true),ALIGNED,YES,YES
2.3 Memos Time Bounds and Fees,AC-02.1,response.hash is non-null on a successful submit and can be used to query the transaction,sdk-usage: Memos Time Bounds and Fees (implicit — response.hash! used with force-unwrap),(implicit — hash used without null check),TS-02.1 — expect(response.hash isNotNull),EXPANDED,YES,IMPLICIT
2.3 Memos Time Bounds and Fees,AC-02.2,sdk.transactions.transaction(hash) returns a non-null TransactionResponse,sdk-usage: Memos Time Bounds and Fees (implicit — txResponse accessed without null check),(implicit — txResponse.memo accessed without null check on txResponse),TS-02.1 — sdk.transactions.transaction(hash) result accessed without null check,EXPANDED,YES,IMPLICIT
2.3 Memos Time Bounds and Fees,AC-02.3,txResponse.memo is not null for a transaction submitted with a text memo,sdk-usage: Memos Time Bounds and Fees,"expect(memo, isNotNull)",TS-02.1 — expect(memo isNotNull),ALIGNED,YES,YES
2.3 Memos Time Bounds and Fees,AC-02.4,txResponse.memo is of runtime type MemoText,sdk-usage: Memos Time Bounds and Fees,"expect(memo is MemoText, true)",TS-02.1 — expect(memo is MemoText true),ALIGNED,YES,YES
2.3 Memos Time Bounds and Fees,AC-02.5,(txResponse.memo as MemoText).text equals the exact string passed to Memo.text(),sdk-usage: Memos Time Bounds and Fees,"expect((memo as MemoText).text, ""Payment for invoice #1234"")",TS-02.1 — expect((memo as MemoText).text Payment for invoice #1234),ALIGNED,YES,YES
2.3 Memos Time Bounds and Fees,AC-03.1,Memo.id(12345) creates a non-null memo (numeric identifier),(not in benchmark — Memo.id() not tested),(not tested in benchmark),TS-03.1 — Memo.id(12345) isNotNull,EXPANDED,YES,N/A
2.3 Memos Time Bounds and Fees,AC-03.2,Memo.hash(Uint8List(32)) creates a non-null hash memo,(not in benchmark — Memo.hash() not tested),(not tested in benchmark),TS-03.2 — Memo.hash(Uint8List(32)) isNotNull,EXPANDED,YES,N/A
2.3 Memos Time Bounds and Fees,AC-03.3,Memo.returnHash(Uint8List(32)) creates a non-null return-hash memo,(not in benchmark — Memo.returnHash() not tested),(not tested in benchmark),TS-03.2 — Memo.returnHash(Uint8List(32)) isNotNull,EXPANDED,YES,N/A
2.3 Memos Time Bounds and Fees,AC-04.1,TimeBounds(minTime maxTime) is constructed from integer Unix timestamps without error,sdk-usage: Time Bounds (implicit — TimeBounds(now-60 now+300) used),(implicit — TimeBounds construction used before submit),TS-04.1 — TimeBounds(now-60 now+300) accepted without exception,EXPANDED,YES,IMPLICIT
2.3 Memos Time Bounds and Fees,AC-04.2,addTimeBounds(timeBounds) attaches time bounds to the TransactionBuilder without error,sdk-usage: Time Bounds (implicit — addTimeBounds() called),(implicit — addTimeBounds used before submit),TS-04.1 — addTimeBounds(timeBounds).build() returnsNormally,EXPANDED,YES,IMPLICIT
2.3 Memos Time Bounds and Fees,AC-04.3,A transaction with a valid time window submits successfully,sdk-usage: Time Bounds,"expect(response.success, true)",TS-04.2 — expect(response.success true),ALIGNED,YES,YES
2.3 Memos Time Bounds and Fees,AC-05.1,setMaxOperationFee(200) applies a custom fee of 200 stroops per operation without error,sdk-usage: Custom Fee (implicit — setMaxOperationFee(200) called),(implicit — setMaxOperationFee used before submit),TS-05.1 — setMaxOperationFee(200).build() returnsNormally,EXPANDED,YES,IMPLICIT
2.3 Memos Time Bounds and Fees,AC-05.2,A transaction built with setMaxOperationFee(200) submits successfully,sdk-usage: Custom Fee,"expect(response.success, true)",TS-05.2 — expect(response.success true),ALIGNED,YES,YES
