subtopic,ac_id,doc_behavior,benchmark_test,benchmark_assertion,generated_test,alignment_verdict,rq1_covered,rq2_aligned
1.1 Creating Keypairs,AC-01.1,KeyPair.random() returns a non-null KeyPair,sdk-usage: Creating Keypairs,(implicit — keypair used without null-check),TS-01.1 — expect(kp isNotNull),EXPANDED,YES,IMPLICIT
1.1 Creating Keypairs,AC-01.2,accountId is non-empty and starts with G,sdk-usage: Creating Keypairs,"expect(keyPair.accountId startsWith('G')); expect(keyPair.accountId.length 56)",TS-01.2 — startsWith('G') + isNotEmpty,ALIGNED,YES,YES
1.1 Creating Keypairs,AC-01.3,secretSeed is non-empty and starts with S,sdk-usage: Creating Keypairs,"expect(keyPair.secretSeed startsWith('S')); expect(keyPair.secretSeed.length 56)",TS-01.3 — startsWith('S') + isNotEmpty,ALIGNED,YES,YES
1.1 Creating Keypairs,AC-01.4,Successive KeyPair.random() calls produce unique keypairs,sdk-usage: Creating Keypairs,(not tested),TS-01.4 — accountId and secretSeed differ across two calls,EXPANDED,YES,N/A
1.1 Creating Keypairs,AC-01.5,Random keypair can sign (canSign() == true),sdk-usage: Creating Keypairs,(not tested),TS-01.5 — expect(kp.canSign() isTrue),EXPANDED,YES,N/A
1.1 Creating Keypairs,AC-02.1,KeyPair.fromSecretSeed(validSeed) returns non-null KeyPair,sdk-usage: Creating Keypairs,(implicit — fromSeed used without null-check),TS-02.1 — expect(kp isNotNull),EXPANDED,YES,IMPLICIT
1.1 Creating Keypairs,AC-02.2,secretSeed round-trips to the original input,sdk-usage: Creating Keypairs,(not explicitly asserted — only accountId checked),TS-02.2 — expect(kp.secretSeed equals(_roundTripSeed)),EXPANDED,YES,N/A
1.1 Creating Keypairs,AC-02.3,Same seed always produces the same accountId (determinism),sdk-usage: Creating Keypairs,expect(fromSeed.accountId equals(keyPair.accountId)),TS-02.3 — two calls same seed + known pair,ALIGNED,YES,YES
1.1 Creating Keypairs,AC-02.4,Keypair from seed can sign (canSign() == true),sdk-usage: Creating Keypairs,(not tested),TS-02.4 — expect(kp.canSign() isTrue),EXPANDED,YES,N/A
1.1 Creating Keypairs,AC-02.5,Invalid input to fromSecretSeed() throws error (malformed string),sdk-usage: Creating Keypairs,(not tested — no error-path tests in benchmark),TS-02.5a — malformed string throws FormatException,EXPANDED,YES,N/A
1.1 Creating Keypairs,AC-02.5,Invalid input to fromSecretSeed() throws error (G-address passed as seed),sdk-usage: Creating Keypairs,(not tested),(TS-02.5b — G-address as seed throws FormatException,EXPANDED,YES,N/A
1.1 Creating Keypairs,AMB-4,Doc example seed SCZANGBA5Y... has invalid strkey checksum (documentation defect),sdk-usage: Creating Keypairs,(not tested),TS-02.5c — doc example seed throws FormatException,BONUS,YES,N/A
1.1 Creating Keypairs,AC-03.1,KeyPair.fromAccountId(validId) returns non-null KeyPair,sdk-usage: Creating Keypairs,(implicit — publicOnly used without null-check),TS-03.1 — expect(kp isNotNull),EXPANDED,YES,IMPLICIT
1.1 Creating Keypairs,AC-03.2,accountId property equals the input string (round-trip),sdk-usage: Creating Keypairs,expect(publicOnly.accountId equals(keyPair.accountId)),TS-03.2 — expect(kp.accountId equals(_validAccountId)),ALIGNED,YES,YES
1.1 Creating Keypairs,AC-03.3,Public-key-only keypair cannot sign (canSign() == false),sdk-usage: Creating Keypairs,(not tested),TS-03.3 — expect(kp.canSign() isFalse),EXPANDED,YES,N/A
1.1 Creating Keypairs,AC-03.4,Invalid input to fromAccountId() throws error (malformed string),sdk-usage: Creating Keypairs,(not tested),TS-03.4a — malformed string throws FormatException,EXPANDED,YES,N/A
1.1 Creating Keypairs,AC-03.4,Invalid input to fromAccountId() throws error (S-address passed as accountId),sdk-usage: Creating Keypairs,(not tested),TS-03.4b — S-address as accountId throws FormatException,EXPANDED,YES,N/A
1.1 Creating Keypairs,(benchmark-only),accountId.length == 56 (not stated in docs),sdk-usage: Creating Keypairs,expect(keyPair.accountId.length 56),(not tested — not documented),BENCHMARK-ONLY,N/A,N/A
1.1 Creating Keypairs,(benchmark-only),secretSeed.length == 56 (not stated in docs),sdk-usage: Creating Keypairs,expect(keyPair.secretSeed.length 56),(not tested — not documented),BENCHMARK-ONLY,N/A,N/A
