subtopic,ac_id,doc_behavior,benchmark_test,benchmark_assertion,generated_test,alignment_verdict,rq1_covered,rq2_aligned
2.1 Simple Payments,AC-01.1,PaymentOperationBuilder.build() returns a non-null PaymentOperation,sdk-usage: Simple Payments (implicit — op used in build chain without null-check),(implicit — op passed to TransactionBuilder),TS-01.1 — expect(op isNotNull),EXPANDED,YES,IMPLICIT
2.1 Simple Payments,AC-01.2,The built operation is typed as PaymentOperation,sdk-usage: Simple Payments (implicit — result assigned to PaymentOperation variable),(implicit — typed variable),TS-01.1 — isA<PaymentOperation>(),EXPANDED,YES,IMPLICIT
2.1 Simple Payments,AC-01.3,A decimal amount string (e.g. "100.50") is accepted without error during build,sdk-usage: Simple Payments (implicit — "100.50" used in example),(implicit — no error path tested),TS-01.1 — decimal string "100.50" accepted in build,EXPANDED,YES,N/A
2.1 Simple Payments,AC-02.1,TransactionBuilder(sourceAccount).build() returns a non-null Transaction,sdk-usage: Simple Payments (implicit — tx used after build),(implicit — tx used in sign+submit),TS-02.1 — expect(tx isNotNull),EXPANDED,YES,IMPLICIT
2.1 Simple Payments,AC-02.2,addOperation() places the operation in the transaction (operations.length == 1),sdk-usage: Simple Payments (implicit — one operation submitted),(not explicitly asserted in 2.1 benchmarks),TS-02.1 — expect(tx.operations.length 1),EXPANDED,YES,N/A
2.1 Simple Payments,AC-03.1,transaction.sign(keyPair Network.TESTNET) completes without throwing,sdk-usage: Simple Payments (implicit — sign called before submit),(not explicitly asserted),TS-03.1 — returnsNormally,EXPANDED,YES,N/A
2.1 Simple Payments,AC-04.1,sdk.submitTransaction(transaction) is async and returns SubmitTransactionResponse,sdk-usage: Simple Payments (implicit — response used),(implicit — response fields accessed),TS-04.1 — response used implicitly,EXPANDED,YES,IMPLICIT
2.1 Simple Payments,AC-04.2,response.success is true for a valid signed XLM payment to a funded existing account,sdk-usage: Simple Payments,expect(response.success true),TS-04.1 — expect(response.success true),ALIGNED,YES,YES
2.1 Simple Payments,AC-04.3,response.hash is a non-null non-empty string on success,sdk-usage: Simple Payments,expect(response.hash isNotNull),TS-04.1 — expect(response.hash isNotNull) + isNotEmpty,ALIGNED,YES,YES
2.1 Simple Payments,AC-05.1,Recipient account is retrievable from Horizon after a successful payment,quick-start: Complete Example (implicit — bobAccount.balances iterated),(implicit — balances loop requires non-null account),TS-05.1 — expect(bobAccount isNotNull),EXPANDED,YES,IMPLICIT
2.1 Simple Payments,AC-05.2,Recipient native balance >= prior balance + payment amount after successful transfer,quick-start: Complete Example,"expect(double.parse(balance.balance) greaterThanOrEqualTo(10100.0))",TS-05.1 — greaterThanOrEqualTo(10100.0),ALIGNED,YES,YES
2.1 Simple Payments,AC-06.1,addMemo(Memo.text(...)) attaches a text memo to the transaction without error,getting-started: Complete Payment Example (implicit — addMemo in build chain),(implicit — addMemo used without assertion),TS-06.1 — addMemo(Memo.text('Coffee payment')) in build chain,EXPANDED,YES,IMPLICIT
2.1 Simple Payments,AC-06.2,A transaction with a text memo submits successfully (response.success == true),getting-started: Complete Payment Example,expect(response.success true),TS-06.1 — expect(response.success true),ALIGNED,YES,YES
2.1 Simple Payments,BENCHMARK-ONLY,Keypair G-prefix format check (alice/bob accountId startsWith G) in end-to-end test,quick-start: Complete Example,"expect(alice.accountId startsWith('G')); expect(bob.accountId startsWith('G'))",(not generated — keypair format covered in 1.1),BENCHMARK-ONLY,N/A,N/A
